datetime_utc,battery_microamperes
2024-03-07T17:41:38.448Z,-1218.0
2024-03-07T17:41:39.448Z,-1195.0
2024-03-07T17:41:40.448Z,-1562.0
2024-03-07T17:41:41.448Z,-917.0
2024-03-07T17:41:42.448Z,-987.0
2024-03-07T17:41:43.448Z,-1056.0
2024-03-07T17:41:44.448Z,-1291.0
2024-03-07T17:41:45.448Z,-912.0
2024-03-07T17:41:46.449Z,-1003.0
2024-03-07T17:41:47.448Z,-780.0
2024-03-07T17:41:48.448Z,-1203.0
2024-03-07T17:41:49.448Z,-853.0
2024-03-07T17:41:50.449Z,-1223.0
2024-03-07T17:41:51.448Z,-1251.0
2024-03-07T17:41:52.448Z,-1218.0
2024-03-07T17:41:53.449Z,-1158.0
2024-03-07T17:41:54.448Z,-1005.0
2024-03-07T17:41:55.448Z,-912.0
2024-03-07T17:41:56.448Z,-847.0
2024-03-07T17:41:57.449Z,-952.0
2024-03-07T17:41:58.450Z,-1002.0
2024-03-07T17:41:59.448Z,-987.0
2024-03-07T17:42:00.449Z,-898.0
2024-03-07T17:42:01.448Z,-904.0
2024-03-07T17:42:02.448Z,-782.0
2024-03-07T17:42:03.449Z,-1025.0
2024-03-07T17:42:04.448Z,-795.0
2024-03-07T17:42:05.448Z,-1374.0
2024-03-07T17:42:06.449Z,-795.0
2024-03-07T17:42:07.448Z,-1365.0
2024-03-07T17:42:08.451Z,-842.0
2024-03-07T17:42:09.453Z,-1275.0
2024-03-07T17:42:10.448Z,-908.0
2024-03-07T17:42:11.449Z,-1263.0
2024-03-07T17:42:12.449Z,-889.0
2024-03-07T17:42:13.451Z,-793.0
2024-03-07T17:42:14.449Z,-1159.0
2024-03-07T17:42:15.448Z,-807.0
2024-03-07T17:42:16.449Z,-1089.0
2024-03-07T17:42:17.448Z,-751.0
