timestamp_nano,datetime_utc,name,axis_x,axis_y,axis_z,accuracy
867226040229434,2024-03-07T17:41:37.169Z,lsm6dso acceleration sensor,10.395923,-1.3000516,4.7740383,3
867226062175064,2024-03-07T17:41:37.191Z,lsm6dso acceleration sensor,10.297761,-1.3192052,4.31914,3
867226082172597,2024-03-07T17:41:37.211Z,lsm6dso acceleration sensor,9.725547,-0.4261679,3.9624038,3
867226102170730,2024-03-07T17:41:37.230Z,lsm6dso acceleration sensor,8.12622,1.0366893,4.036624,3
867226122168230,2024-03-07T17:41:37.251Z,lsm6dso acceleration sensor,7.31698,1.5490485,1.6136919,3
867226142165730,2024-03-07T17:41:37.271Z,lsm6dso acceleration sensor,7.424719,0.9600749,1.6208745,3
867226162163263,2024-03-07T17:41:37.291Z,lsm6dso acceleration sensor,7.1134725,0.6847417,1.8100165,3
867226182160896,2024-03-07T17:41:37.311Z,lsm6dso acceleration sensor,7.2355766,0.50278234,2.6910827,3
867226202158629,2024-03-07T17:41:37.331Z,lsm6dso acceleration sensor,7.8868,0.19871874,3.016694,3
867226222156395,2024-03-07T17:41:37.351Z,lsm6dso acceleration sensor,8.430284,-0.035913024,3.016694,3
867226242154161,2024-03-07T17:41:37.371Z,lsm6dso acceleration sensor,8.937854,-0.23702596,2.5689783,3
867226262151927,2024-03-07T17:41:37.391Z,lsm6dso acceleration sensor,8.674492,-0.10055647,2.3702598,3
867226282149760,2024-03-07T17:41:37.411Z,lsm6dso acceleration sensor,8.095096,0.24660277,2.1140802,3
867226302147960,2024-03-07T17:41:37.431Z,lsm6dso acceleration sensor,8.2315645,0.40940848,2.2266076,3
867226322145726,2024-03-07T17:41:37.451Z,lsm6dso acceleration sensor,8.971373,0.37828386,2.1787236,3
867226342143559,2024-03-07T17:41:37.471Z,lsm6dso acceleration sensor,10.513239,0.25857377,2.3989902,3
867226362141392,2024-03-07T17:41:37.491Z,lsm6dso acceleration sensor,10.45099,0.8451532,3.8139634,3
867226382139158,2024-03-07T17:41:37.511Z,lsm6dso acceleration sensor,9.708787,1.4101849,4.855441,3
867226402136924,2024-03-07T17:41:37.531Z,lsm6dso acceleration sensor,10.443807,1.8100165,4.4843397,3
867226422134757,2024-03-07T17:41:37.551Z,lsm6dso acceleration sensor,13.185168,1.6927006,3.3973722,3
867226442132590,2024-03-07T17:41:37.571Z,lsm6dso acceleration sensor,13.532328,0.45729253,4.3478703,3
867226462130356,2024-03-07T17:41:37.591Z,lsm6dso acceleration sensor,14.049475,-0.9864111,5.0496707,3
867226482128189,2024-03-07T17:41:37.611Z,lsm6dso acceleration sensor,13.53951,-0.9864111,5.645827,3
867226502125255,2024-03-07T17:41:37.631Z,lsm6dso acceleration sensor,10.745477,0.35194764,5.3776765,3
867226522122988,2024-03-07T17:41:37.650Z,lsm6dso acceleration sensor,7.412748,0.17956513,5.052065,3
867226542120721,2024-03-07T17:41:37.670Z,lsm6dso acceleration sensor,5.861305,-1.8866309,4.0462008,3
867226562118521,2024-03-07T17:41:37.690Z,lsm6dso acceleration sensor,7.618649,-4.0318356,3.4596214,3
867226582116321,2024-03-07T17:41:37.711Z,lsm6dso acceleration sensor,10.082283,-4.5920787,3.028665,3
