timestamp_nano,datetime_utc,name,axis_x,axis_y,axis_z,delta_x,delta_y,delta_z,accuracy
867226122168230,2024-03-07T17:41:37.251Z,gyroscope sensor uncalibrated,-0.05497787,-0.47219884,-0.08735373,-0.05497787,-0.47219884,-0.08735373,3
867226142165730,2024-03-07T17:41:37.271Z,gyroscope sensor uncalibrated,-0.06047566,-0.1386664,0.14905111,-0.06047566,-0.1386664,0.14905111,3
867226162163263,2024-03-07T17:41:37.291Z,gyroscope sensor uncalibrated,0.042760566,0.21197024,0.1459968,0.042760566,0.21197024,0.1459968,3
867226182160896,2024-03-07T17:41:37.311Z,gyroscope sensor uncalibrated,0.08124508,0.49846604,0.16798794,0.08124508,0.49846604,0.16798794,3
867226202158629,2024-03-07T17:41:37.331Z,gyroscope sensor uncalibrated,0.081855945,0.4868596,0.18081611,0.081855945,0.4868596,0.18081611,3
867226222156395,2024-03-07T17:41:37.351Z,gyroscope sensor uncalibrated,0.029932396,0.2657264,0.13255776,0.029932396,0.2657264,0.13255776,3
867226242154161,2024-03-07T17:41:37.371Z,gyroscope sensor uncalibrated,-0.09896017,-0.017104227,0.02565634,-0.09896017,-0.017104227,0.02565634,3
867226262151927,2024-03-07T17:41:37.391Z,gyroscope sensor uncalibrated,-0.21074851,-0.15393804,-0.103847094,-0.21074851,-0.15393804,-0.103847094,3
867226282149760,2024-03-07T17:41:37.411Z,gyroscope sensor uncalibrated,-0.26083946,-0.092240654,-0.16249016,-0.26083946,-0.092240654,-0.16249016,3
867226302147960,2024-03-07T17:41:37.430Z,gyroscope sensor uncalibrated,-0.2565634,0.00061086525,-0.089186326,-0.2565634,0.00061086525,-0.089186326,3
867226322145726,2024-03-07T17:41:37.451Z,gyroscope sensor uncalibrated,-0.19181168,0.093462385,0.0580322,-0.19181168,0.093462385,0.0580322,3
867226342143559,2024-03-07T17:41:37.471Z,gyroscope sensor uncalibrated,-0.25717425,0.2125811,0.14782938,-0.25717425,0.2125811,0.14782938,3
867226362141392,2024-03-07T17:41:37.491Z,gyroscope sensor uncalibrated,-0.38056904,0.21991149,0.03176499,-0.38056904,0.21991149,0.03176499,3
867226382139158,2024-03-07T17:41:37.511Z,gyroscope sensor uncalibrated,-0.25473082,0.23396139,-0.029321533,-0.25473082,0.23396139,-0.029321533,3
867226402136924,2024-03-07T17:41:37.530Z,gyroscope sensor uncalibrated,-0.10262536,0.15149458,0.07513642,-0.10262536,0.15149458,0.07513642,3
867226422134757,2024-03-07T17:41:37.551Z,gyroscope sensor uncalibrated,-0.12950343,-0.009162978,0.19486602,-0.12950343,-0.009162978,0.19486602,3
867226442132590,2024-03-07T17:41:37.571Z,gyroscope sensor uncalibrated,-0.33536503,-0.3023783,0.06291912,-0.33536503,-0.3023783,0.06291912,3
867226462130356,2024-03-07T17:41:37.591Z,gyroscope sensor uncalibrated,-0.20952678,-0.5662721,0.06352998,-0.20952678,-0.5662721,0.06352998,3
867226482128189,2024-03-07T17:41:37.611Z,gyroscope sensor uncalibrated,-0.14905111,-0.4990769,-0.019547688,-0.14905111,-0.4990769,-0.019547688,3
867226502125255,2024-03-07T17:41:37.631Z,gyroscope sensor uncalibrated,-0.15149458,-0.48502702,-0.106901415,-0.15149458,-0.48502702,-0.106901415,3
867226522122988,2024-03-07T17:41:37.651Z,gyroscope sensor uncalibrated,-0.2302962,-0.57910025,-0.0036651916,-0.2302962,-0.57910025,-0.0036651916,3
867226542120721,2024-03-07T17:41:37.671Z,gyroscope sensor uncalibrated,-0.37751472,-0.39706242,0.14844026,-0.37751472,-0.39706242,0.14844026,3
867226562118521,2024-03-07T17:41:37.691Z,gyroscope sensor uncalibrated,-0.4447099,-0.11301007,0.3463606,-0.4447099,-0.11301007,0.3463606,3
867226582116321,2024-03-07T17:41:37.711Z,gyroscope sensor uncalibrated,-0.35613444,0.25045475,0.23518312,-0.35613444,0.25045475,0.23518312,3
867226602114054,2024-03-07T17:41:37.731Z,gyroscope sensor uncalibrated,-0.5112942,0.7470882,-0.27488935,-0.5112942,0.7470882,-0.27488935,3
867226622111887,2024-03-07T17:41:37.751Z,gyroscope sensor uncalibrated,-0.5864306,0.7098254,-0.45204028,-0.5864306,0.7098254,-0.45204028,3
867226642109720,2024-03-07T17:41:37.771Z,gyroscope sensor uncalibrated,-0.35613444,0.24923302,-0.26083946,-0.35613444,0.24923302,-0.26083946,3
