datetime_utc,battery_microamperes
2024-03-21T19:39:28.961Z,-1033.0
2024-03-21T19:39:29.961Z,-861.0
2024-03-21T19:39:30.961Z,-866.0
2024-03-21T19:39:31.961Z,-918.0
2024-03-21T19:39:32.962Z,-953.0
2024-03-21T19:39:33.961Z,-1014.0
2024-03-21T19:39:34.961Z,-831.0
2024-03-21T19:39:35.961Z,-1138.0
2024-03-21T19:39:36.961Z,-826.0
2024-03-21T19:39:37.961Z,-1342.0
2024-03-21T19:39:38.961Z,-1562.0
2024-03-21T19:39:39.961Z,-1070.0
2024-03-21T19:39:40.961Z,-879.0
2024-03-21T19:39:41.962Z,-1020.0
2024-03-21T19:39:42.961Z,-991.0
2024-03-21T19:39:43.961Z,-1037.0
2024-03-21T19:39:44.964Z,-932.0
2024-03-21T19:39:45.961Z,-1045.0
2024-03-21T19:39:46.961Z,-1074.0
2024-03-21T19:39:47.961Z,-863.0
2024-03-21T19:39:48.961Z,-958.0
2024-03-21T19:39:49.961Z,-729.0
2024-03-21T19:39:50.961Z,-1046.0
2024-03-21T19:39:51.961Z,-945.0
2024-03-21T19:39:52.961Z,-997.0
2024-03-21T19:39:53.961Z,-880.0
2024-03-21T19:39:54.961Z,-961.0
2024-03-21T19:39:55.962Z,-758.0
2024-03-21T19:39:56.961Z,-799.0
2024-03-21T19:39:57.962Z,-865.0
2024-03-21T19:39:58.961Z,-1063.0
2024-03-21T19:39:59.961Z,-773.0
2024-03-21T19:40:00.961Z,-967.0
2024-03-21T19:40:01.961Z,-871.0
2024-03-21T19:40:02.961Z,-1284.0
2024-03-21T19:40:03.961Z,-1263.0
2024-03-21T19:40:04.961Z,-1159.0
2024-03-21T19:40:05.961Z,-1194.0
2024-03-21T19:40:06.961Z,-1032.0
2024-03-21T19:40:07.961Z,-924.0
